"source_id","bank","year","filename","sha256","size_bytes","pdf_pages","extracted_page_blocks","searchable_pages","searchable_page_ratio","nonspace_text_characters","text_status","extraction_method","report_status","final_source_status","manual_adjudication_note"
"annual_report:ABSA_BANK_GHANA_PLC:2020","Absa Bank Ghana PLC","2020","Absa Bank Ghana PLC - 2020 - Annual Report.pdf","51b9f81efeb9cb93ca9164768ae26d9e7521e0f37f2a25f0931aeda40e24ccbf","1895108","118","118","117","0.9915","231611","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ABSA_BANK_GHANA_PLC:2021","Absa Bank Ghana PLC","2021","Absa Bank Ghana PLC - 2021 - Annual Report.pdf","ab6df60386a81e7f9ea6c464120a46120b8d038234b73fd5951cfaa1357af949","1910174","128","128","127","0.9922","258470","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ABSA_BANK_GHANA_PLC:2022","Absa Bank Ghana PLC","2022","Absa Bank Ghana PLC - 2022 - Annual Report.pdf","327ef8bc32755aa7756ebfd0f5eb6317e19a06408dba169b44ce19bd07d3b75b","2033512","135","135","135","1.0","276603","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ABSA_BANK_GHANA_PLC:2023","Absa Bank Ghana PLC","2023","Absa Bank Ghana PLC - 2023 - Annual Report.pdf","dc42d262937403d43518a3d3b9eec3da5fd7dfd0a8a4558f5e1fa81d9c176e8e","2371960","142","142","141","0.993","302723","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ABSA_BANK_GHANA_PLC:2024","Absa Bank Ghana PLC","2024","Absa Bank Ghana PLC - 2024 - Annual Report.pdf","78fc476226e929f29c59054f445720d0da08ef93c43b25abecf6500f8240ccb2","11947329","178","178","165","0.927","342851","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ABSA_BANK_GHANA_PLC:2025","Absa Bank Ghana PLC","2025","Absa Bank Ghana PLC - 2025 - Annual Report.pdf","3a5a523ef7d84c213693cd22e1e8344ffedf7b8e96a2b63fe3920beab70ea11c","2753882","190","190","190","1.0","342654","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2020","Access Bank (Ghana) PLC","2020","Access Bank (Ghana) PLC - 2020 - Annual Report.pdf","3c75dfc526381992c5936747fe75564f322a057ec7882530151a71f080a68d42","9735324","164","164","152","0.9268","312711","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2021","Access Bank (Ghana) PLC","2021","Access Bank (Ghana) PLC - 2021 - Annual Report.pdf","5971dccd44be83abc8d45b277cd5646273cb6ad50dc1dc42b2f7449271934f90","9987456","164","164","138","0.8415","306744","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2022","Access Bank (Ghana) PLC","2022","Access Bank (Ghana) PLC - 2022 - Annual Report.pdf","6bf2487c5441f30df4f08d4ae973f73de6bef7f0f3591c78f1ceac8c02512be3","2110849","121","121","120","0.9917","236574","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2023","Access Bank (Ghana) PLC","2023","Access Bank (Ghana) PLC - 2023 - Annual Report.pdf","ec6cc9ade29d88a80ef1457860552e43d326ea5fafe462965304c3bf68a0c483","1575852","119","119","114","0.958","218778","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2024","Access Bank (Ghana) PLC","2024","Access Bank (Ghana) PLC - 2024 - Annual Report.pdf","a964213ae81a6132909379595f9b8053ae82bd28981e756976c7baa9da068973","3395273","114","114","0","0.0","0","ocr_or_visual_review_required","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
"annual_report:ACCESS_BANK_GHANA_PLC:2025","Access Bank (Ghana) PLC","2025","Access Bank (Ghana) PLC - 2025 - Annual Report.pdf","112b75ef186dba082fb5291920c4f42fef40b68ef681ee78fd56ddfb075b1454","18718252","121","121","121","1.0","245295","searchable","cached_text","verified_full_report","verified_full_report","Bank identity, reporting year and full-report content verified in the extracted report text and/or page images."
