bank,bank_id,year,ori_score,fitted,residual,leverage,cooks_distance,studentized_residual,high_cooks_distance
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2024,75.0,88.759971984642,-13.759971984641993,0.30021387376382747,0.08396441222926383,-2.3759993373430066,True
Republic Bank (Ghana) PLC,REPUBLIC_BANK_GHANA_PLC,2023,100.0,84.85951406593664,15.140485934063364,0.26150017880650195,0.07950800929186742,2.560867762469302,True
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2025,75.0,87.43331864402583,-12.433318644025832,0.3005947209446329,0.06871597542268518,-2.1311289149400374,True
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2025,100.0,89.02399141422569,10.97600858577431,0.3333334436503766,0.06535976431841328,1.9151757857738796,True
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2020,100.0,85.91424551556271,14.085754484437288,0.25019368115594076,0.06387022177400918,2.347550506771924,True
First Atlantic Bank PLC,FIRST_ATLANTIC_BANK_PLC,2023,87.5,97.54975196464774,-10.04975196464774,0.34042871346227255,0.05717069059770442,-1.7556422931981055,True
Guaranty Trust Bank (Ghana) Limited,GUARANTY_TRUST_BANK_GHANA_LIMITED,2024,87.5,74.96333609352449,12.53666390647551,0.25503130843194227,0.05224460778916907,2.0788900562389685,True
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2020,87.5,100.08000792950477,-12.580007929504774,0.2534408777470965,0.05205592058781833,-2.084175791224663,True
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2021,100.0,87.03466366325173,12.965336336748265,0.2294410195527922,0.04698799528904213,2.116297213303694,True
Republic Bank (Ghana) PLC,REPUBLIC_BANK_GHANA_PLC,2022,75.0,85.94296972927889,-10.942969729278886,0.2659249660104445,0.042747296235585305,-1.8148054025191382,True
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2024,75.0,86.87493323545831,-11.874933235458315,0.2405628858817999,0.042546848182978526,-1.942813904823092,True
Guaranty Trust Bank (Ghana) Limited,GUARANTY_TRUST_BANK_GHANA_LIMITED,2021,62.5,72.87395502402335,-10.373955024023346,0.2710427451770001,0.039708404222270746,-1.722451109443022,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2024,87.5,78.80448561096006,8.695514389039943,0.32717208149650073,0.03952927379762998,1.494902042199215,False
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2023,75.0,86.92247599547746,-11.922475995477456,0.2253493699610324,0.0386133565468299,-1.930703004545031,False
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2021,75.0,85.23403308213722,-10.234033082137216,0.234793302368133,0.03037958679107799,-1.6558126621336957,False
Guaranty Trust Bank (Ghana) Limited,GUARANTY_TRUST_BANK_GHANA_LIMITED,2020,62.5,71.66360161611613,-9.163601616116125,0.2663145884407751,0.030051602839791903,-1.5090871600329108,False
Agricultural Development Bank (ADB) PLC,AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,2025,75.0,82.01941608428882,-7.019416084288821,0.34901739223383016,0.029354204893481544,-1.2202079888157902,False
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2022,100.0,90.89808230981815,9.10191769018185,0.2615578971350408,0.028744899490970355,1.493591571473921,False
Agricultural Development Bank (ADB) PLC,AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,2021,87.5,78.42121628247487,9.078783717525127,0.2607063487589788,0.02844022609462265,1.4887828943433945,False
United Bank for Africa (UBA Ghana) Limited,UNITED_BANK_FOR_AFRICA_UBA_GHANA_LIMITED,2022,100.0,90.82036294622452,9.17963705377548,0.2536263230102348,0.02775190293746597,1.4984780390664876,False
