bank_id,bank,year,core_sample,car_sample,npl_sample,ori_score,capital_adequacy_ratio,npl_ratio,row_validation_status,source_file,source_sha256,core_exclusion_reason,car_exclusion_reason,npl_exclusion_reason
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2020,True,True,True,100.0,22.68,7.7,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,51b9f81efeb9cb93ca9164768ae26d9e7521e0f37f2a25f0931aeda40e24ccbf,included,included,included
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2021,True,True,True,100.0,23.09,7.2,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,ab6df60386a81e7f9ea6c464120a46120b8d038234b73fd5951cfaa1357af949,included,included,included
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2022,True,True,True,100.0,19.47,16.0,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,327ef8bc32755aa7756ebfd0f5eb6317e19a06408dba169b44ce19bd07d3b75b,included,included,included
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2023,True,True,True,100.0,20.18,15.1,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2023 - Annual Report.pdf,dc42d262937403d43518a3d3b9eec3da5fd7dfd0a8a4558f5e1fa81d9c176e8e,included,included,included
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2024,True,True,True,100.0,7.5,15.5,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2024 - Annual Report.pdf,78fc476226e929f29c59054f445720d0da08ef93c43b25abecf6500f8240ccb2,included,included,included
ABSA_BANK_GHANA_PLC,Absa Bank Ghana PLC,2025,True,True,True,100.0,7.4,16.98,verified_core_complete_third_pass,Absa Bank Ghana PLC - 2025 - Annual Report.pdf,3a5a523ef7d84c213693cd22e1e8344ffedf7b8e96a2b63fe3920beab70ea11c,included,included,included
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2020,True,False,False,100.0,,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2020 - Annual Report.pdf,3c75dfc526381992c5936747fe75564f322a057ec7882530151a71f080a68d42,included,missing CAR and/or core variable,missing NPL and/or required covariate
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2021,True,False,False,100.0,,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2021 - Annual Report.pdf,5971dccd44be83abc8d45b277cd5646273cb6ad50dc1dc42b2f7449271934f90,included,missing CAR and/or core variable,missing NPL and/or required covariate
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2022,True,False,False,100.0,,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2022 - Annual Report.pdf,6bf2487c5441f30df4f08d4ae973f73de6bef7f0f3591c78f1ceac8c02512be3,included,missing CAR and/or core variable,missing NPL and/or required covariate
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2023,True,True,False,100.0,13.0,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2023 - Annual Report.pdf,ec6cc9ade29d88a80ef1457860552e43d326ea5fafe462965304c3bf68a0c483,included,included,missing NPL and/or required covariate
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2024,True,False,False,100.0,,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2024 - Annual Report.pdf,a964213ae81a6132909379595f9b8053ae82bd28981e756976c7baa9da068973,included,missing CAR and/or core variable,missing NPL and/or required covariate
ACCESS_BANK_GHANA_PLC,Access Bank (Ghana) PLC,2025,True,False,False,100.0,,,verified_core_complete_third_pass,Access Bank (Ghana) PLC - 2025 - Annual Report.pdf,112b75ef186dba082fb5291920c4f42fef40b68ef681ee78fd56ddfb075b1454,included,missing CAR and/or core variable,missing NPL and/or required covariate
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2020,True,True,True,87.5,5.7,34.4,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2020 - Annual Report.pdf,0f7048540945eb70caee35968c7dd5ea523197c2aa01856450ae941b905d7400,included,included,included
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2021,True,True,True,87.5,5.7,31.21,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2021 - Annual Report.pdf,71d292c23f6564d9b8a03365a7a544f274fdd6f254710e9047987a99057f4efd,included,included,included
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2022,True,True,True,75.0,5.7,29.74,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2022 - Annual Report.pdf,cd8390478972af5f46cd368165eacc4ae36c8f093803b376f964c37891662cae,included,included,included
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2023,True,True,True,75.0,5.7,31.39,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2023 - Annual Report.pdf,39cdb7f0060c1d9f63574350952d683d2acafca1f69282f54a6ae0b8bba75702,included,included,included
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2024,True,True,True,75.0,5.7,75.36,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2024 - Annual Report.pdf,e200ffee66403f1f1e2772ad0abf2ad451772bf13fef2f2f52e276fdb7159b8b,included,included,included
AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,Agricultural Development Bank (ADB) PLC,2025,True,False,False,75.0,,,verified_core_complete_third_pass,Agricultural Development Bank (ADB) PLC - 2025 - Annual Report.pdf,3e8356a00ddec73ba3640f6487d73aea6863a7d1c7e9e3090e841c7b74d904d4,included,missing CAR and/or core variable,missing NPL and/or required covariate
CALBANK_PLC,CalBank PLC,2020,True,True,True,100.0,22.5,9.9,verified_core_complete_third_pass,CalBank PLC - 2020 - Annual Report.pdf,8d2b7f64d8a8f3f063619f183edea40a2639b9ed0b3e3d81d24a9fed1f173186,included,included,included
CALBANK_PLC,CalBank PLC,2021,True,True,True,100.0,21.9,13.5,verified_core_complete_third_pass,CalBank PLC - 2021 - Annual Report.pdf,1394fb4ffe7aa6e631caf5b073bad6991efb9fae9364e5849178440d75549c39,included,included,included
CALBANK_PLC,CalBank PLC,2022,True,True,True,100.0,24.5,11.2,verified_core_complete_third_pass,CalBank PLC - 2022 - Annual Report.pdf,eff07cde10242f9a7cf948a8057bf02e09eb304a863c69046b6274dc5d15ae8e,included,included,included
CALBANK_PLC,CalBank PLC,2023,True,True,True,100.0,11.9,11.2,verified_core_complete_third_pass,CalBank PLC - 2023 - Annual Report.pdf,901b62f02751342f06fda5f3aaffafcaf3152a396f2f942adc49ea356c5fbbf1,included,included,included
CALBANK_PLC,CalBank PLC,2024,True,True,True,100.0,9.9,33.2,verified_core_complete_third_pass,CalBank PLC - 2024 - Annual Report.pdf,d6ec81d2813dacd6b4d7ad84dd600c280153f69d342145d1b0b038c8a60cada9,included,included,included
CALBANK_PLC,CalBank PLC,2025,True,True,True,100.0,7.22,31.0,verified_core_complete_third_pass,CalBank PLC - 2025 - Annual Report.pdf,78fb8b286e7ceee81461f22f6ca0de7e5fe81e78fdc4420ee894807632f27d47,included,included,included
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2020,True,True,False,75.0,19.76,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2020 - Annual Report.pdf,2010657e4b901966ba45fa20218f1005540ae80950e71238583b288cb7352221,included,included,missing NPL and/or required covariate
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2021,True,False,False,75.0,,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2021 - Annual Report.pdf,d8da04838785ae3dd950d8d0f588a1211b7cb34f3a63ce7f66e31150cb54c8dd,included,missing CAR and/or core variable,missing NPL and/or required covariate
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2022,True,True,False,75.0,4.45,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2022 - Annual Report.pdf,4492f7c84e4c13eabb13a4a63507590b13c02e31478b02f1fc252644b6b1c51b,included,included,missing NPL and/or required covariate
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2023,True,True,False,75.0,23.52,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2023 - Annual Report.pdf,cc5187778132acdb39d85456b11f8330808ea01fa94363ec45ed004afa11d9bc,included,included,missing NPL and/or required covariate
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2024,True,True,False,87.5,14.82,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2024 - Annual Report.pdf,6ba52ecd9959776346c79ab8bf9456b5460bda7f864ccb75268259d7787736d4,included,included,missing NPL and/or required covariate
CONSOLIDATED_BANK_GHANA_CBG_LIMITED,Consolidated Bank Ghana (CBG) Limited,2025,True,True,False,87.5,14.3,,verified_core_complete_third_pass,Consolidated Bank Ghana (CBG) Limited - 2025 - Annual Report.pdf,812eb00d41be50db9059e14aae4699bad655c4d699dd3399fd7f0c474e088624,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2020,True,True,False,87.5,19.57,,verified_core_complete_third_pass,Ecobank Ghana PLC - 2020 - Annual Report.pdf,12bf6455efcec0f05e3c17ffdc30c6e3323363554a4f39b849d875dfcaabe0a6,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2021,True,True,False,75.0,20.41,,verified_core_complete_third_pass,Ecobank Ghana PLC - 2021 - Annual Report.pdf,deb34a1f6c317913f966f915de0cc710ed2df877c9f9641eb382d529a66c8aff,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2022,True,True,False,100.0,15.03,,verified_core_complete_third_pass,Ecobank Ghana PLC - 2022 - Annual Report.pdf,0c64f7d03247d6c426909f1a74c49c2d919e1d3fd16e0d2dc8d98047ccd04e64,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2023,True,True,False,87.5,13.65,,verified_core_complete_third_pass,Ecobank Ghana PLC - 2023 - Annual Report.pdf,a1c68aebeb38180784144c1ce53b467fa27cc0ff16bde1ca5f5f2409dbab07d3,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2024,True,True,False,75.0,17.18,,verified_core_complete_third_pass,Ecobank Ghana PLC - 2024 - Annual Report.pdf,b3642694cf3d0c587acaba3cdb130a7422f556995eeae347b4fb47a4bf4a4e7d,included,included,missing NPL and/or required covariate
ECOBANK_GHANA_PLC,Ecobank Ghana PLC,2025,True,True,True,100.0,21.48,22.7,verified_core_complete_third_pass,Ecobank Ghana PLC - 2025 - Annual Report.pdf,63250e8b2b314e958c61f823449c6b7a4924758817a504896efd36c8609b760f,included,included,included
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2020,True,True,False,100.0,13.0,,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2020 - Annual Report.pdf,08291f55050d8407878ee210d2a5d9460da19c48bc88541b432c6fc39564321c,included,included,missing NPL and/or required covariate
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2021,True,True,False,100.0,16.6,,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2021 - Annual Report.pdf,4b6ebadaed7934568f32eb8e180510924bce242cad3948eb0c5b1e717da540a0,included,included,missing NPL and/or required covariate
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2022,True,True,False,100.0,13.0,,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2022 - Annual Report.pdf,6da21787bbf7bae71e2b95f34f6f00ca59bf4b3dc014e1bfc9dddf900a7dbc57,included,included,missing NPL and/or required covariate
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2023,True,True,False,100.0,13.0,,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2023 - Annual Report.pdf,271b260bc41a1052c3655d94d5aee70b2d3ecd26b5de2aeb24931ca2800b2c31,included,included,missing NPL and/or required covariate
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2024,True,True,False,100.0,14.38,,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2024 - Annual Report.pdf,f2e05ef70a5c0b9524564c0caa4fe349211f10a4ed5806985ebe36e68f267ca2,included,included,missing NPL and/or required covariate
FIDELITY_BANK_GHANA_LIMITED,Fidelity Bank Ghana Limited,2025,True,True,True,100.0,22.86,3.3,verified_core_complete_third_pass,Fidelity Bank Ghana Limited - 2025 - Annual Report.pdf,cc219d695b7e6c9818f86a3b0aa6e86a68a91a9fe3d1af8706d332b67e9b910b,included,included,included
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2020,True,True,False,87.5,27.0,,verified_core_complete_third_pass,First Atlantic Bank PLC - 2020 - Annual Report.pdf,99869c5df3711d1bf49e5e8e103d426802f7a67acc5bae00e45bfefaea78bbc6,included,included,missing NPL and/or required covariate
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2021,True,True,False,87.5,22.4,,verified_core_complete_third_pass,First Atlantic Bank PLC - 2021 - Annual Report.pdf,398b0d983babc550036b79d157308e0c5ea96bb7882628324aae25d33b73b1f0,included,included,missing NPL and/or required covariate
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2022,True,True,False,100.0,17.88,,verified_core_complete_third_pass,First Atlantic Bank PLC - 2022 - Annual Report.pdf,14c9016fd50b9f2868844b3fd1f1d545751944d4102d970dfe573b0d1592b828,included,included,missing NPL and/or required covariate
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2023,True,True,False,87.5,16.98,,verified_core_complete_third_pass,First Atlantic Bank PLC - 2023 - Annual Report.pdf,6eaee0ff9340aed4ae2d64fc9e87a221777d99ec833fff6a2f24af58926d1e73,included,included,missing NPL and/or required covariate
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2024,False,False,False,,18.0,,financial_only_summary_excluded_from_complete_case,First Atlantic Bank PLC - 2024 - Annual Report.pdf,9d0b01564f16a5c310db67d37e582f9f09a6f251ba282271c23160709b629ae6,missing ORI and/or core governance variable,missing CAR and/or core variable,missing NPL and/or required covariate
FIRST_ATLANTIC_BANK_PLC,First Atlantic Bank PLC,2025,True,True,False,100.0,20.61,,verified_core_complete_third_pass,First Atlantic Bank PLC - 2025 - Annual Report.pdf,fd0512f751d14be0ebd2687e5bd275ae1d2ee35d2ea7540549c4bebb616cdc08,included,included,missing NPL and/or required covariate
GCB_BANK_PLC,GCB Bank PLC,2020,True,True,True,87.5,20.67,1.0,verified_core_complete_third_pass,GCB Bank PLC - 2020 - Annual Report.pdf,9fe548d63af16f2d4297a908aafca02ff0bc6988032f051fcff78b8673a2f698,included,included,included
GCB_BANK_PLC,GCB Bank PLC,2021,True,True,True,87.5,20.67,8.71,verified_core_complete_third_pass,GCB Bank PLC - 2021 - Annual Report.pdf,5e627679301664acf04c6a023336a51206bc77019e1d0228e35b6daf542b7b36,included,included,included
GCB_BANK_PLC,GCB Bank PLC,2022,True,True,True,100.0,20.9,15.98,verified_core_complete_third_pass,GCB Bank PLC - 2022 - Annual Report.pdf,725cba5093eb993f7e25b8ae83d2b47c089c12fd46c1572c9ab715594bb095b8,included,included,included
GCB_BANK_PLC,GCB Bank PLC,2023,True,True,True,100.0,13.0,20.59,verified_core_complete_third_pass,GCB Bank PLC - 2023 - Annual Report.pdf,ab6a5c9253cbdcc22bf5747d8fcb27f4a0021c27f457aa59fca6f354b6592dc2,included,included,included
GCB_BANK_PLC,GCB Bank PLC,2024,True,True,False,87.5,6.6,,verified_core_complete_third_pass,GCB Bank PLC - 2024 - Annual Report.pdf,0c37f59a55c11cc2cb14af330ba7d13d025087a2f5d2eae09c253366c61632c3,included,included,missing NPL and/or required covariate
GCB_BANK_PLC,GCB Bank PLC,2025,True,True,True,87.5,17.47,15.06,verified_core_complete_third_pass,GCB Bank PLC - 2025 - Annual Report.pdf,c129125fb39c89e609ac6bdeb434a1aca19faa93961e0905cf0b65a79d4ad281,included,included,included
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2020,True,False,False,62.5,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2020 - Annual Report.pdf,8252929d234c689a08072372c36739909cd03015b7bca9199ff516a8396e9d0b,included,missing CAR and/or core variable,missing NPL and/or required covariate
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2021,True,False,False,62.5,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2021 - Annual Report.pdf,b58799cbf421f2270bd0536f2afdfca5a04a78f6636929ef06a45cd38c6cd178,included,missing CAR and/or core variable,missing NPL and/or required covariate
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2022,True,False,False,75.0,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2022 - Annual Report.pdf,6478e21ce536bd1ac21c24811b92b43267c5f97386ff2648e2d410c49dd4015e,included,missing CAR and/or core variable,missing NPL and/or required covariate
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2023,True,False,False,75.0,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2023 - Annual Report.pdf,7415b360008fe94e2ed8238f9e4e92e8aac9db482ce6f62b2debe1a08a5ae863,included,missing CAR and/or core variable,missing NPL and/or required covariate
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2024,True,False,False,87.5,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2024 - Annual Report.pdf,0e5af2d8a747e7081d922b86e8e2d27549022c0163fcaca5f935549c8c3e0d8b,included,missing CAR and/or core variable,missing NPL and/or required covariate
GUARANTY_TRUST_BANK_GHANA_LIMITED,Guaranty Trust Bank (Ghana) Limited,2025,True,False,False,87.5,,,verified_core_complete_third_pass,Guaranty Trust Bank (Ghana) Limited - 2025 - Annual Report.pdf,cda2a39fa7453ea6e59533e566b83ae40b114667c5220c81b0d4cfc4af5e9a83,included,missing CAR and/or core variable,missing NPL and/or required covariate
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2020,True,True,True,75.0,26.66,18.16,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2020 - Annual Report.pdf,d504f2a8ad3b4674b8d2ee7f34b6dd60b05cb732aec554fda6bdcd17c46650d0,included,included,included
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2021,True,True,True,75.0,27.63,19.03,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2021 - Annual Report.pdf,c2548ff45344ccb4f423b4cc380ae5716926e9c4275cd4bbbdfa8f377accc499,included,included,included
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2022,True,True,True,75.0,21.25,15.32,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2022 - Annual Report.pdf,7c1d2cd881f184b54e58469b34647452ab8aef33d91ce0ba913f01b84a1b5f92,included,included,included
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2023,True,True,True,100.0,31.0,19.85,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2023 - Annual Report.pdf,7e6e9cdc82f1fa83e66d06a190c983bb768842ff29b761969f936170755a5889,included,included,included
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2024,True,True,True,100.0,31.0,15.95,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2024 - Annual Report.pdf,8761408b573fed6e51934abcb635094703d962169ea3659e0caeccd4a3f1c4f4,included,included,included
REPUBLIC_BANK_GHANA_PLC,Republic Bank (Ghana) PLC,2025,True,True,True,100.0,20.15,15.64,verified_core_complete_third_pass,Republic Bank (Ghana) PLC - 2025 - Annual Report.pdf,d00d4aacba76239d419a06e0c6a8a921e0d4e41075d7b3256cebb8548d355a94,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2020,True,True,True,100.0,17.06,6.7,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2020 - Annual Report.pdf,ad4dbf5bbfdad1a7448cecc1c43e3671e1f9cdf888958d0294be5b85aadeca6c,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2021,True,True,True,100.0,22.38,7.58,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2021 - Annual Report.pdf,dd237373536ed84c1559785bb6b030310b8876d4bda4791ce8bb4d2106b0c0d4,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2022,True,True,True,100.0,16.0,13.48,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2022 - Annual Report.pdf,a0762e694aaa6675bbad2d45e1c1b8eadb4850242c0414d3cde8c8971b92129c,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2023,True,True,True,100.0,18.71,19.55,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2023 - Annual Report.pdf,ace7d28206b0b802bd70385a54e1c0300692ed3e08d0577b340613ec1ce003fe,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2024,True,True,True,100.0,19.81,16.56,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2024 - Annual Report.pdf,777de8e70c428ef63872c2bbd2f157835b80753635b860f563110cb10a6e9c70,included,included,included
SOCIETE_GENERALE_GHANA_PLC,Societe Generale Ghana PLC,2025,True,True,True,100.0,23.39,13.06,verified_core_complete_third_pass,Societe Generale Ghana PLC - 2025 - Annual Report.pdf,393f0170771b868d9376e8332b108087e304d239679de965873fd46b40b4ddbe,included,included,included
STANBIC_BANK_GHANA_LIMITED,Stanbic Bank Ghana Limited,2020,True,False,False,100.0,,,verified_core_complete_third_pass,2020 stanbic Annual Report.pdf,00e8f9f17a282af5cddc57d4678d72263d152c6777939955b077187baf885893,included,missing CAR and/or core variable,missing NPL and/or required covariate
STANBIC_BANK_GHANA_LIMITED,Stanbic Bank Ghana Limited,2021,True,False,False,100.0,,,verified_core_complete_third_pass,2021 stanbic Annual Report.pdf,40f1a331db6c529e18bb4ab367a8c6fa3dbdcc757a414528761bbc8ebc51bdc5,included,missing CAR and/or core variable,missing NPL and/or required covariate
STANBIC_BANK_GHANA_LIMITED,Stanbic Bank Ghana Limited,2022,True,False,False,100.0,,,verified_core_complete_third_pass,2022 stanbic Annual Report.pdf,247f58aeda90e3dfb1a60c2a83e386503491ffff11dbc1a771db5c609a7b03c9,included,missing CAR and/or core variable,missing NPL and/or required covariate
STANBIC_BANK_GHANA_LIMITED,Stanbic Bank Ghana Limited,2023,True,True,True,87.5,19.6,16.24,verified_core_complete_third_pass,Stanbic Bank Ghana Limited - 2023 - Annual Report.pdf,2a9dbdd0a41146403a90906d45551c13754f0fcb10d3a8b10ceb444e68a3a00d,included,included,included
STANBIC_BANK_GHANA_LIMITED,Stanbic Bank Ghana Limited,2024,True,True,True,87.5,19.0,17.08,verified_core_complete_third_pass,Stanbic Bank Ghana Limited - 2024 - Annual Report.pdf,92acfb3fce7a050f0855a6b5481e8624b81639288e72ada3c10e2d1735955c4c,included,included,included
