variable,nonmissing,missing,missing_percent
bank_id,96,0,0.0
bank,96,0,0.0
year,96,0,0.0
source_file,96,0,0.0
source_sha256,96,0,0.0
report_status,96,0,0.0
text_status,96,0,0.0
ori1,95,1,1.0416666666666665
ori2,95,1,1.0416666666666665
ori3,95,1,1.0416666666666665
ori4,95,1,1.0416666666666665
ori5,95,1,1.0416666666666665
ori6,95,1,1.0416666666666665
ori7,95,1,1.0416666666666665
ori8,95,1,1.0416666666666665
ori_score,95,1,1.0416666666666665
total_assets,96,0,0.0
total_assets_confidence,96,0,0.0
total_liabilities,96,0,0.0
total_liabilities_confidence,96,0,0.0
cash_and_cash_equivalents,96,0,0.0
cash_and_cash_equivalents_confidence,96,0,0.0
profit_after_tax,96,0,0.0
profit_after_tax_confidence,96,0,0.0
capital_adequacy_ratio,71,25,26.041666666666668
capital_adequacy_ratio_confidence,96,0,0.0
npl_ratio,43,53,55.208333333333336
npl_ratio_confidence,96,0,0.0
firm_size_ln_assets,96,0,0.0
roa,96,0,0.0
liquidity_ratio,96,0,0.0
leverage_ratio,96,0,0.0
board_total,95,1,1.0416666666666665
independent_directors,95,1,1.0416666666666665
board_independence,95,1,1.0416666666666665
board_coding_status,96,0,0.0
row_validation_status,96,0,0.0
core_sample,96,0,0.0
car_sample,96,0,0.0
npl_sample,96,0,0.0
board_independence_c,95,1,1.0416666666666665
firm_size_c,96,0,0.0
board_x_size,95,1,1.0416666666666665
ori_fraction,95,1,1.0416666666666665
full_disclosure,95,1,1.0416666666666665
