model,variable,label,coefficient,std_error,statistic,p_value,significance,observations,banks,bank_effects,year_effects,standard_errors,r_squared
pooled_main,board_independence_c,Board independence (centred),-17.913331322403256,8.173036217986379,-2.191759689377301,0.031164508837377314,**,95,16,False,True,clustered by bank,0.1531184089568004
pooled_main,firm_size_c,Firm size (centred ln assets),-0.16750626178203676,3.210488535093259,-0.052174695517849284,0.9585133730933224,,95,16,False,True,clustered by bank,0.1531184089568004
pooled_main,roa,Return on assets,133.72147797764285,74.32856480591029,1.799059060629271,0.0756007154167353,*,95,16,False,True,clustered by bank,0.1531184089568004
pooled_main,liquidity_ratio,Liquidity ratio,-1.1939826241359954,20.632371013127422,-0.05786938512187085,0.9539901104775286,,95,16,False,True,clustered by bank,0.1531184089568004
pooled_main,leverage_ratio,Leverage ratio,66.15994728198292,46.104005020200724,1.435015184754439,0.15499572745639667,,95,16,False,True,clustered by bank,0.1531184089568004
fe_main,board_independence_c,Board independence (centred),-18.76021517327689,8.114685762179068,-2.3118843690429163,0.023775001968191267,**,95,16,True,True,clustered by bank,0.12128973661859987
fe_main,firm_size_c,Firm size (centred ln assets),9.133234453461222,7.70222542540685,1.1857916315113282,0.23977206236667725,,95,16,True,True,clustered by bank,0.12128973661859987
fe_main,roa,Return on assets,24.851466280422592,23.812507026930344,1.0436308219171233,0.3002988917764393,,95,16,True,True,clustered by bank,0.12128973661859987
fe_main,liquidity_ratio,Liquidity ratio,-0.3872082677738328,17.774897215782524,-0.021783994758069622,0.982683135269125,,95,16,True,True,clustered by bank,0.12128973661859987
fe_main,leverage_ratio,Leverage ratio,3.8268472637185367,40.64100968653847,0.09416220938492344,0.925253207721136,,95,16,True,True,clustered by bank,0.12128973661859987
re_main,board_independence_c,Board independence (centred),-17.927712440055988,6.30791467001067,-2.8420981224252455,0.0056241074919569645,***,95,16,False,True,clustered by bank,0.16025631072233082
re_main,firm_size_c,Firm size (centred ln assets),5.882814519549365,4.9297802797444215,1.1933218491949407,0.23610287346242131,,95,16,False,True,clustered by bank,0.16025631072233082
re_main,roa,Return on assets,36.124014394823334,22.884455471853983,1.5785393906030638,0.11820037602145494,,95,16,False,True,clustered by bank,0.16025631072233082
re_main,liquidity_ratio,Liquidity ratio,2.4809399682996993,15.33281737771944,0.16180587736633614,0.871847291451298,,95,16,False,True,clustered by bank,0.16025631072233082
re_main,leverage_ratio,Leverage ratio,10.944985533999857,36.05147318643556,0.30359329499239246,0.7621884583013048,,95,16,False,True,clustered by bank,0.16025631072233082
pooled_moderation,board_independence_c,Board independence (centred),-16.605438224012083,7.786167668685082,-2.1326843873137897,0.03590486355642852,**,95,16,False,True,clustered by bank,0.16195228120095517
pooled_moderation,firm_size_c,Firm size (centred ln assets),-0.4489211298970875,3.1666244358148514,-0.14176645794169426,0.8876080209593207,,95,16,False,True,clustered by bank,0.16195228120095517
pooled_moderation,board_x_size,Board independence x firm size,10.119153668150227,8.289594693102051,1.220705479915754,0.22565413366370657,,95,16,False,True,clustered by bank,0.16195228120095517
pooled_moderation,roa,Return on assets,140.12901970093225,75.18112208500567,1.8638857177802082,0.06587358971094437,*,95,16,False,True,clustered by bank,0.16195228120095517
pooled_moderation,liquidity_ratio,Liquidity ratio,-1.227888343212447,20.75779322037249,-0.05915312529500248,0.952972335436898,,95,16,False,True,clustered by bank,0.16195228120095517
pooled_moderation,leverage_ratio,Leverage ratio,70.61013035808729,45.74272369290388,1.543636335084286,0.1264808143704197,,95,16,False,True,clustered by bank,0.16195228120095517
fe_moderation,board_independence_c,Board independence (centred),-15.325417776157146,8.36233188516824,-1.83267275044882,0.07122953632274731,*,95,16,True,True,clustered by bank,0.1420435337842736
fe_moderation,firm_size_c,Firm size (centred ln assets),7.133585824492683,8.3347294011955,0.8558869137934425,0.3950662296715928,,95,16,True,True,clustered by bank,0.1420435337842736
fe_moderation,board_x_size,Board independence x firm size,14.33895260013248,18.511778102803735,0.7745853758889184,0.441269749132728,,95,16,True,True,clustered by bank,0.1420435337842736
fe_moderation,roa,Return on assets,25.01094124769114,23.753910706214878,1.0529188880527103,0.29610531171327836,,95,16,True,True,clustered by bank,0.1420435337842736
fe_moderation,liquidity_ratio,Liquidity ratio,1.9240376550903753,19.47632369434146,0.0987885437357654,0.9215968061497835,,95,16,True,True,clustered by bank,0.1420435337842736
fe_moderation,leverage_ratio,Leverage ratio,-2.7801804340343357,40.577341170908106,-0.0685155890900901,0.9455762863493016,,95,16,True,True,clustered by bank,0.1420435337842736
re_moderation,board_independence_c,Board independence (centred),-14.868904678405778,6.583418291706634,-2.258538652653541,0.026535137152976507,**,95,16,False,True,clustered by bank,0.1810113331406481
re_moderation,firm_size_c,Firm size (centred ln assets),5.054660243650048,5.217026997105609,0.9688775324441216,0.33542118306471447,,95,16,False,True,clustered by bank,0.1810113331406481
re_moderation,board_x_size,Board independence x firm size,14.375809528653175,15.079663393684587,0.9533242986493857,0.34319393699102063,,95,16,False,True,clustered by bank,0.1810113331406481
re_moderation,roa,Return on assets,33.77145796106047,22.2673374155553,1.51663655743002,0.13315805872607944,,95,16,False,True,clustered by bank,0.1810113331406481
re_moderation,liquidity_ratio,Liquidity ratio,3.4020323776432773,15.832468261290007,0.2148769428429023,0.8303903491003553,,95,16,False,True,clustered by bank,0.1810113331406481
re_moderation,leverage_ratio,Leverage ratio,3.66059460748999,35.49101898693235,0.10314143442423578,0.918099521219347,,95,16,False,True,clustered by bank,0.1810113331406481
